Store_new,Order_ID,Order_Amt,items_ordered,Date_Ordered
Store7,4937469831,20,1,12/17/2016
Store7,4937234567,20,1,12/17/2016
Store7,4940653447,615,3,12/17/2016
Store7,4937476103,131,1,12/17/2016
Store7,4937492423,243,1,12/17/2016
Store7,4940868167,243,1,12/17/2016
Store7,4935932551,35,1,12/17/2016
Store7,4940062855,43,1,12/17/2016
Store7,4937148615,43,1,12/17/2016
Store7,4935931271,90,1,12/17/2016
Store7,4939798343,90,1,12/17/2016
Store5,4874567756,442,3,12/17/2016
Store7,4938443463,75,1,12/17/2016
Store3,4708909441,157.356,2,12/17/2016
Store3,4707642305,72.333,1,12/17/2016
Store7,6016218567,36,1,8/30/2017
Store7,6016482631,36,1,8/30/2017
Store7,6014847879,36,1,8/30/2017
Store7,6014936839,36,1,8/30/2017
Store7,6013502791,248,2,8/30/2017
Store7,6015877191,69,1,8/30/2017
Store7,6014627015,155,1,8/30/2017
Store7,6014624391,243,1,8/30/2017
Store7,6014385543,243,1,8/30/2017
Store7,6016072455,35,1,8/30/2017
Store7,6014615367,43,1,8/30/2017
Store7,6014266759,43,1,8/30/2017
Store7,6016325383,43,1,8/30/2017
Store7,6015070407,43,1,8/30/2017
Store7,6016329863,43,1,8/30/2017
Store7,6015154951,63,1,8/30/2017
Store7,6013783303,90,1,8/30/2017
Store7,6016918727,205,1,8/30/2017
Store3,5701166593,22.842,1,8/30/2017
Store7,2843819463,243,1,4/6/2016
Store7,4945609671,36,1,12/18/2016
Store7,4942595079,36,1,12/18/2016
Store7,4946326535,36,1,12/18/2016
Store7,4946955591,186,1,12/18/2016
Store7,4945897543,195,1,12/18/2016
Store7,4942027207,279,2,12/18/2016
Store7,4943387847,35,1,12/18/2016
Store7,4942726407,90,1,12/18/2016
Store7,4946458823,166,1,12/18/2016
Store7,6017997255,36,1,8/31/2017
Store7,6019053831,36,1,8/31/2017
Store5,71079886873,36,1,8/31/2017
Store7,6020240007,36,1,8/31/2017
Store7,6019618503,60,1,8/31/2017
Store7,6018280583,60,1,8/31/2017
Store7,6017637063,274,2,8/31/2017
Store7,6018969031,483,3,8/31/2017
Store7,6020211719,486,2,8/31/2017
Store5,71083851801,35,1,8/31/2017
Store7,6019860295,43,1,8/31/2017
Store7,6020726407,90,1,8/31/2017
Store7,6018619527,90,1,8/31/2017
Store7,6020584711,90,1,8/31/2017
Store7,6021047175,94,1,8/31/2017
Store7,6019435207,94,1,8/31/2017
Store7,6018335495,118,2,8/31/2017
Store7,6019775495,132,1,8/31/2017
Store3,5711380673,63.45,1,8/31/2017
Store7,4952712519,20,1,12/19/2016
Store7,4949682055,36,1,12/19/2016
Store7,4951311687,36,1,12/19/2016
Store7,4949404935,60,1,12/19/2016
Store7,4949780871,120,2,12/19/2016
Store7,4953704007,124,1,12/19/2016
Store7,4954792583,186,1,12/19/2016
Store7,4954101511,186,1,12/19/2016
Store7,4951028871,218,1,12/19/2016
Store5,4889716876,372,2,12/19/2016
Store7,4951213319,195,1,12/19/2016
Store7,4950804615,243,1,12/19/2016
Store5,4891305740,243,1,12/19/2016
Store7,4950333383,243,1,12/19/2016
Store7,4950443591,43,1,12/19/2016
Store7,4952028423,43,1,12/19/2016
Store7,4949766855,215,2,12/19/2016
Store7,6022456007,36,1,9/1/2017
Store7,6023580999,84,1,9/1/2017
Store5,72146878489,321,4,9/1/2017
Store7,6021922247,65,1,9/1/2017
Store7,6023380679,243,1,9/1/2017
Store7,6021774599,35,1,9/1/2017
Store7,6023369607,43,1,9/1/2017
Store7,6021607431,43,1,9/1/2017
Store7,6022820423,63,1,9/1/2017
Store7,6022709959,114,2,9/1/2017
Store7,6023528327,205,1,9/1/2017
Store3,5718531393,308.367,2,9/1/2017
Store3,5718579073,129.438,1,9/1/2017
Store7,2851884487,43,1,4/8/2016
Store7,4959910535,36,1,12/20/2016
Store7,4960505287,36,1,12/20/2016
Store7,4958538759,100,1,12/20/2016
Store5,4900739724,131,1,12/20/2016
Store7,4955712647,243,1,12/20/2016
Store7,4959992455,243,1,12/20/2016
Store7,4957156167,247,1,12/20/2016
Store3,4719137025,154.1835,1,12/20/2016
Store3,4719162689,105.327,1,12/20/2016
Store3,4719176065,41.2425,1,12/20/2016
Store7,6026108167,36,1,9/2/2017
Store7,6028235271,36,1,9/2/2017
Store7,6025005831,65,1,9/2/2017
Store7,6025287367,69,1,9/2/2017
Store7,6028001799,69,1,9/2/2017
Store7,6027203911,155,1,9/2/2017
Store7,6026496391,35,1,9/2/2017
Store7,6026200519,43,1,9/2/2017
Store7,6027929863,43,1,9/2/2017
Store5,72915386393,63,1,9/2/2017
Store7,6025554247,255,2,9/2/2017
Store5,72948351001,303,2,9/2/2017
Store3,5723430721,154.1835,1,9/2/2017
Store7,2857557127,40,1,4/9/2016
Store7,4961544455,36,1,12/21/2016
Store7,4964867527,40,1,12/21/2016
Store7,4961873351,124,1,12/21/2016
Store7,4960729223,85,1,12/21/2016
Store7,4961935367,243,1,12/21/2016
Store7,4961781831,70,2,12/21/2016
Store7,4962787783,75,1,12/21/2016
Store3,4723386497,118.017,1,12/21/2016
