Default Channel Grouping,Date,Sessions
Paid Search,1/2/2018,1382818.00
Email,11/27/2017,769601.00
Organic Search,4/23/2017,321059.00
Organic Search,1/2/2018,293785.00
Email,11/7/2017,572020.00
(Other),12/9/2017,285137.00
(Other),6/13/2017,284497.00
Direct,1/2/2018,123506.00
(Other),12/8/2017,246892.00
Email,8/17/2017,493080.00
(Other),12/10/2017,243482.00
Organic Search,4/24/2017,206656.00
Direct,12/16/2017,98068.00
Email,11/16/2017,380782.00
(Other),7/12/2017,185543.00
(Other),4/4/2017,184820.00
Email,10/24/2017,367669.00
Email,12/5/2017,355423.00
Paid Social,12/11/2017,173309.00
Direct,4/25/2017,81634.00
Direct,12/7/2017,80563.00
Direct,12/8/2017,74807.00
(Other),3/9/2017,149489.00
Direct,11/27/2017,72364.00
Organic Search,4/25/2017,142443.00
Email,8/8/2017,279272.00
Email,10/31/2017,269864.00
Direct,12/11/2017,65281.00
Organic Search,11/27/2017,126159.00
Direct,12/10/2017,60021.00
Direct,12/9/2017,59443.00
Paid Search,4/23/2017,352270.00
Paid Search,1/3/2018,348823.00
Direct,4/26/2017,56241.00
Organic Search,10/2/2017,111677.00
Direct,11/24/2017,55832.00
Paid Search,11/27/2017,334353.00
Organic Search,4/5/2017,110942.00
Direct,12/17/2017,53327.00
Email,1/17/2017,211498.00
(Other),5/3/2017,105353.00
Organic Search,4/4/2017,102019.00
Direct,8/13/2017,50670.00
Organic Search,4/26/2017,99664.00
(Other),5/25/2017,98307.00
Paid Search,11/24/2017,294469.00
Organic Search,8/13/2017,96492.00
Email,11/24/2017,192231.00
Organic Search,11/24/2017,96040.00
Direct,8/12/2017,47938.00
Paid Search,12/25/2017,285878.00
Paid Search,8/12/2017,283806.00
Paid Search,12/17/2017,274348.00
Direct,12/18/2017,45700.00
Direct,8/11/2017,45225.00
(Other),6/15/2017,89861.00
Organic Search,8/17/2017,89019.00
Paid Search,12/16/2017,266548.00
Direct,4/23/2017,44274.00
Paid Search,12/18/2017,264061.00
Direct,4/27/2017,43847.00
Direct,8/17/2017,43696.00
Paid Social,12/16/2017,87223.00
(Other),2/7/2017,86934.00
Email,11/3/2016,172738.00
Email,12/14/2017,172059.00
Paid Social,12/14/2017,85760.00
Direct,12/5/2017,42019.00
Direct,11/26/2017,41822.00
Organic Search,8/12/2017,83562.00
Direct,12/12/2017,41705.00
Paid Search,12/26/2017,249969.00
Organic Search,4/27/2017,82450.00
Paid Search,4/24/2017,246540.00
Direct,1/3/2018,41077.00
Paid Search,8/13/2017,245956.00
Organic Search,8/14/2017,81835.00
Direct,12/25/2017,40713.00
Paid Social,12/17/2017,81119.00
Paid Social,12/15/2017,80641.00
Organic Search,1/3/2018,80340.00
Paid Search,1/4/2018,237912.00
Direct,4/24/2017,39165.00
Direct,11/28/2017,39143.00
Direct,12/14/2017,38936.00
Direct,12/6/2017,38832.00
Direct,12/13/2017,38732.00
Direct,12/4/2017,38522.00
(Other),6/16/2017,75774.00
Paid Search,12/11/2017,226890.00
Paid Search,12/12/2017,226739.00
Organic Search,4/6/2017,75517.00
Paid Search,12/19/2017,225552.00
Direct,11/25/2017,37284.00
Direct,9/14/2017,37250.00
Paid Search,12/10/2017,223442.00
Organic Search,9/14/2017,74261.00
Direct,12/19/2017,37074.00
Paid Search,12/15/2017,221144.00
Direct,12/26/2017,36851.00
Direct,4/4/2017,36823.00
Paid Search,12/14/2017,220541.00
Referral,11/17/2017,289985.00
Paid Search,12/13/2017,217451.00
Direct,4/29/2017,36207.00
Paid Search,11/26/2017,216641.00
Direct,12/15/2017,35859.00
Organic Search,4/28/2017,71699.00
Direct,11/23/2017,35482.00
Email,1/30/2017,141727.00
Direct,10/24/2017,35231.00
Organic Search,6/13/2017,70053.00
Organic Search,12/18/2017,70041.00
Direct,11/16/2017,34860.00
Direct,11/30/2017,34791.00
Direct,11/29/2017,34785.00
Direct,12/3/2017,34703.00
Paid Search,11/25/2017,205978.00
Direct,4/28/2017,34295.00
Organic Search,11/26/2017,68050.00
Organic Search,5/3/2017,67956.00
Organic Search,10/24/2017,67736.00
Direct,11/7/2017,33777.00
Organic Search,12/11/2017,67548.00
Organic Search,4/30/2017,67460.00
Paid Search,12/5/2017,202059.00
Direct,12/1/2017,33661.00
Paid Search,12/4/2017,201155.00
Paid Search,9/14/2017,199365.00
Paid Search,1/6/2018,198197.00
Direct,8/14/2017,32973.00
Organic Search,4/29/2017,65940.00
Paid Search,12/9/2017,196840.00
Paid Search,12/20/2017,196595.00
Paid Search,1/5/2018,196407.00
Organic Search,12/5/2017,65325.00
Direct,6/13/2017,32615.00
Paid Social,12/12/2017,65142.00
Direct,4/30/2017,32556.00
Paid Search,12/6/2017,195032.00
Organic Search,8/15/2017,64998.00
Email,12/18/2017,129782.00
Referral,8/13/2017,258560.00
Paid Search,12/27/2017,192658.00
Direct,8/10/2017,31852.00
Paid Search,12/28/2017,190925.00
Organic Search,12/12/2017,63610.00
Direct,11/20/2017,31780.00
Direct,12/20/2017,31767.00
Organic Search,12/26/2017,63114.00
Organic Search,11/28/2017,63070.00
Organic Search,5/1/2017,62938.00
Direct,4/5/2017,31381.00
Organic Search,12/25/2017,62756.00
Paid Search,12/3/2017,187835.00
Paid Search,12/8/2017,187609.00
Direct,12/2/2017,31121.00
Organic Search,5/8/2017,62210.00
Paid Search,1/7/2018,186120.00
Organic Search,12/4/2017,61845.00
Direct,11/22/2017,30904.00
Paid Search,11/23/2017,185160.00
Organic Search,8/16/2017,61563.00
Organic Search,4/7/2017,61255.00
Paid Search,12/7/2017,183539.00
Organic Search,5/4/2017,61098.00
Organic Search,12/13/2017,61086.00
Organic Search,5/7/2017,60941.00
Direct,1/4/2018,30442.00
Organic Search,12/14/2017,60596.00
Direct,11/21/2017,30025.00
Direct,11/19/2017,29978.00
Organic Search,11/25/2017,59899.00
Organic Search,11/23/2017,59867.00
(Other),11/7/2017,59823.00
Direct,11/17/2017,29902.00
Organic Search,5/2/2017,59760.00
Paid Search,4/25/2017,178886.00
Email,8/19/2017,118943.00
Organic Search,12/17/2017,59359.00
Organic Search,9/10/2017,59258.00
Direct,5/8/2017,29573.00
(Other),11/8/2017,59089.00
Organic Search,12/19/2017,59076.00
Organic Search,11/7/2017,59019.00
Organic Search,12/6/2017,58969.00
Paid Social,12/18/2017,58950.00
Paid Search,11/28/2017,176493.00
Paid Search,12/21/2017,175758.00
Organic Search,5/14/2017,58523.00
Direct,12/27/2017,29171.00
Organic Search,4/8/2017,58153.00
Direct,5/1/2017,29014.00
Referral,4/5/2017,230149.00
Organic Search,5/9/2017,57399.00
Organic Search,11/16/2017,57399.00
Organic Search,8/18/2017,57280.00
Referral,8/12/2017,229019.00
Organic Search,12/10/2017,57091.00
Direct,4/20/2017,28492.00
Organic Search,5/10/2017,56972.00
Organic Search,10/3/2017,56897.00
Organic Search,12/7/2017,56759.00
Organic Search,1/4/2018,56734.00
(Other),12/7/2017,56690.00
Direct,11/18/2017,28310.00
Direct,5/3/2017,28213.00
Direct,11/15/2017,28210.00
Organic Search,11/30/2017,56401.00
Organic Search,5/15/2017,56376.00
Direct,1/6/2018,28131.00
Direct,6/12/2017,28043.00
Direct,8/18/2017,28034.00
Organic Search,11/29/2017,56005.00
Paid Search,12/29/2017,167940.00
Organic Search,5/12/2017,55773.00
Direct,5/15/2017,27868.00
Organic Search,4/10/2017,55635.00
Organic Search,11/20/2017,55559.00
Direct,12/28/2017,27754.00
Direct,11/13/2017,27714.00
Paid Search,8/17/2017,166075.00
Organic Search,5/11/2017,55308.00
Direct,12/21/2017,27447.00
Paid Search,11/29/2017,164605.00
Paid Search,11/30/2017,164454.00
Paid Search,12/2/2017,164172.00
Organic Search,5/13/2017,54611.00
Organic Search,4/9/2017,54498.00
Organic Search,12/3/2017,54159.00
Organic Search,5/5/2017,54152.00
Organic Search,12/15/2017,54027.00
Direct,11/14/2017,27007.00
Paid Search,12/22/2017,161591.00
Direct,5/13/2017,26856.00
