trans_count,SS_Flag,Promo_Flag,YrWeek,Date,FamilyHoliday,Season,,,,
376,0,1,201804,30-Jan-18,0,Winter,,,,
134,0,0,201803,22-Jan-18,0,Winter,,,,
231,0,1,201802,14-Jan-18,0,Winter,,,,
336,0,1,201801,6-Jan-18,1,Winter,,,,
117,0,1,201752,29-Dec-17,1,Winter,,,,
124,0,1,201751,21-Dec-17,0,Winter,,,,
95,0,0,201750,13-Dec-17,0,Winter,,,,
192,0,1,201749,5-Dec-17,0,Winter,,,,
288,0,1,201748,27-Nov-17,1,Autumn,,,,
79,0,0,201747,19-Nov-17,0,Autumn,,,,
92,0,1,201746,11-Nov-17,0,Autumn,,,,
109,0,1,201745,3-Nov-17,0,Autumn,,,,
132,0,0,201744,26-Oct-17,0,Autumn,,,,
131,0,1,201730,7/29/2017,0,Summer,,,,
199,0,1,201729,7/22/2017,0,Summer,,,,
358,0,1,201728,7/15/2017,0,Summer,,,, 
131,0,1,201727,7/8/2017,1,Summer,,,,
104,0,1,201726,7/1/2017,0,Summer,,,,
94,0,1,201725,6/24/2017,0,Summer,,,,
124,0,1,201724,6/17/2017,0,Summer,,,,
112,0,0,201723,6/10/2017,0,Summer,,,,
151,0,1,201722,6/3/2017,1,Summer,,,,
118,0,1,201721,5/27/2017,0,Spring,,,,
118,0,1,201720,5/20/2017,0,Spring,,,,
127,0,0,201719,5/13/2017,0,Spring,,,,
145,0,0,201718,5/6/2017,0,Spring,,,,
215,0,0,201717,4/29/2017,0,Spring,,,,
377,0,1,201716,4/22/2017,0,Spring,,,,
135,0,0,201715,4/15/2017,0,Spring,,,,
153,0,1,201714,4/8/2017,0,Spring,,,,
135,0,1,201713,4/1/2017,0,Spring,,,,
121,0,0,201712,3/25/2017,0,Spring,,,,
269,0,1,201711,3/18/2017,0,Spring,,,,
497,0,1,201710,3/11/2017,0,Spring,,,,
133,0,0,201709,3/4/2017,0,Spring,,,,
101,0,0,201708,2/25/2017,0,Winter,,,,
129,0,0,201707,2/18/2017,0,Winter,,,,
97,0,0,201706,2/11/2017,0,Winter,,,,
102,0,0,201705,2/4/2017,0,Winter,,,,
96,0,0,201704,1/28/2017,0,Winter,,,,
106,0,0,201703,1/21/2017,0,Winter,,,,
179,0,1,201702,1/14/2017,0,Winter,,,,
281,0,1,201701,1/7/2017,1,Winter,,,,
84,0,1,201653,12/31/2016,1,Winter,,,,
68,0,0,201652,12/24/2016,0,Winter,,,,
73,0,1,201651,12/17/2016,0,Winter,,,,
98,0,0,201650,12/10/2016,0,Winter,,,,
71,0,1,201649,12/3/2016,1,Winter,,,,
71,0,0,201648,11/26/2016,0,Autumn,,,,
66,0,0,201647,11/19/2016,0,Autumn,,,,
78,0,0,201646,11/12/2016,0,Autumn,,,,
94,0,0,201645,11/5/2016,0,Autumn,,,,
120,0,0,201644,10/29/2016,0,Autumn,,,,
90,0,1,201643,10/22/2016,0,Autumn,,,,
78,0,0,201642,10/15/2016,0,Autumn,,,,
105,0,0,201641,10/8/2016,0,Autumn,,,,
167,0,0,201640,10/1/2016,0,Autumn,,,,
203,0,1,201639,9/24/2016,0,Autumn,,,,
98,0,0,201638,9/17/2016,0,Autumn,,,,
178,0,0,201637,9/10/2016,0,Autumn,,,,
323,0,1,201636,9/3/2016,0,Autumn,,,,
164,0,1,201635,8/27/2016,0,Summer,,,,
1043,1,1,201634,8/20/2016,0,Summer,,,,
136,0,1,201633,8/13/2016,0,Summer,,,,
123,0,1,201632,8/6/2016,0,Summer,,,,
135,0,0,201631,7/30/2016,0,Summer,,,,
159,0,1,201630,7/23/2016,0,Summer,,,,
161,0,1,201629,7/16/2016,0,Summer,,,,
166,0,0,201628,7/9/2016,1,Summer,,,,
147,0,0,201627,7/2/2016,0,Summer,,,,
144,0,0,201626,6/25/2016,0,Summer,,,,
118,0,0,201625,6/18/2016,0,Summer,,,,
214,0,1,201624,6/11/2016,0,Summer,,,,
441,0,1,201623,6/4/2016,1,Summer,,,,
130,0,1,201622,5/28/2016,0,Spring,,,,
109,0,0,201621,5/21/2016,0,Spring,,,,
109,0,0,201620,5/14/2016,0,Spring,,,,
103,0,0,201619,5/7/2016,0,Spring,,,,
153,0,1,201618,4/30/2016,0,Spring,,,,
1381,1,1,201617,4/23/2016,0,Spring,,,,
135,0,1,201616,4/16/2016,0,Spring,,,,
148,0,1,201615,4/9/2016,0,Spring,,,,
125,0,0,201614,4/2/2016,0,Spring,,,,
203,0,0,201613,3/26/2016,0,Spring,,,,
255,0,1,201612,3/19/2016,0,Spring,,,,
108,0,0,201611,3/12/2016,0,Spring,,,,
99,0,0,201610,3/5/2016,0,Spring,,,,
116,0,1,201609,2/27/2016,0,Winter,,,,
204,0,0,201608,2/20/2016,0,Winter,,,,
389,0,1,201607,2/13/2016,0,Winter,,,,
124,0,1,201606,2/6/2016,0,Winter,,,,
101,0,0,201605,1/30/2016,0,Winter,,,,
195,0,0,201604,1/23/2016,0,Winter,,,,
350,0,1,201603,1/16/2016,0,Winter,,,,
87,0,0,201602,1/9/2016,1,Winter,,,,
