Amazon,Apple,Ebay,Facebook,Google,Twitter
-0.028097472,9.41378E-05,-0.012827378,-0.013473259,-0.024831557,0.024738804
0.033924265,0.014022189,-0.001727401,0,-0.002763509,0.048551541
0.008722854,0.038422268,0.027036732,0.026592272,0.003364968,0.027628499
-0.010666719,0.001072506,-0.013827931,-0.005564505,-0.012231173,-0.019915342
-0.028460436,-0.024640676,-0.007726369,-0.013120616,-0.007189946,0.00711208
0.023422325,0.00887873,-0.001269814,-0.003519347,0.009454801,0.005044059
-0.028623726,-0.003810544,-0.019954289,-0.002223652,0.008170598,-0.073274737
0.024038914,-0.027140285,-0.018786294,-0.029234344,-0.003755671,0.010289766
-0.005763873,-0.007770098,0.012167888,0.015259922,0.012896825,0.006968596
0.00365743,0.025757179,0.000371938,0.014099462,-0.00117533,0.006920472
-0.006472181,0.007634307,-0.005585863,0.006558237,0.020592333,0.03277816
0.030973327,0.026015503,0.070531703,0.011858271,0.032474947,0.008958241
0.055629755,0.005160159,-0.00673981,0.002318098,0.008747464,0.017250135
0.034841092,0.001062092,-0.012332016,-0.004304241,-0.009778575,-0.029426443
-0.026132248,-0.035013255,-0.024438045,-0.02213051,-0.028880193,-0.045477819
-0.007044244,0.056532877,-0.01554008,0.006070191,-0.01688409,-0.012651446
-0.001792963,0.031133501,0.002228541,0.023085023,0.001561256,0.02317335
0.002859079,-0.014634128,-0.017793472,-0.026794825,0.047544744,-0.001865166
0.171472992,0.012546889,0.013399709,-0.012119691,-0.010044575,0.06219973
0.008757274,0.000168627,0.010050676,0.005467445,0.002066846,0.023372714
-0.0072375,0.007669583,-0.009950665,0.003050341,-0.013500867,0.013261225
0.009635361,0.003178361,0.01079833,-0.000198326,0.007032907,0.16359671
0.020090726,-0.008420895,0.003864364,-0.015142454,0.007738839,-0.014371978
0.008655548,0.006642571,-0.003117076,-0.00040283,-0.008615914,-0.022400705
-0.011384124,0.019211455,0.017300541,0.010075228,0.020593283,0.026805052
0.008223402,0.023438786,-0.002351521,0.017555521,-0.004072588,0.0094737
0.010408972,0.012652161,-0.007342494,-0.003659636,0.014869888,0.011470265
-0.001823264,0.004902758,0.031697102,-0.006427987,0.009523832,-0.009690747
