Date,Day of the Week,Type,Shelf Spaces,Items Sold,Average Price,Markdown,Clearance,Discount,Sales,Variable cost/unit,Inventory & Shelving/unit,Profit
1/1/17,M,Colored,20,642.1804192,40,0,0,0,25687.21677,12.5,0.861982572,17106.4132
1/2/17,T,Colored,30,631.4349828,30,1,0,0,18943.04948,12.5,0.859732664,10507.24692
1/3/17,W,Colored,10,1636.362807,16,0,1,0,26181.80491,12.5,0.986697501,4112.674732
1/4/17,Th,Colored,20,1133.798284,30,1,0,0,34013.94851,12.5,0.937777145,18778.21984
1/5/17,F,Colored,30,1022.991525,30,1,0,0,30689.74576,12.5,0.924064864,16957.04117
1/6/17,Sa,Colored,10,325.9554962,30,1,0,0,9778.664885,12.5,0.771568114,5452.724315
1/7/17,Su,Colored,20,1383.05595,30,1,0,0,41491.67851,12.5,0.964273438,22869.83502
1/8/17,M,Colored,30,3613.098271,16,0,1,0,57809.57234,12.5,1.092309457,8699.222538
1/9/17,T,Colored,10,192.4228588,40,0,0,0,7696.914351,12.5,0.701292712,5156.683868
1/10/17,W,Colored,20,866.8237284,40,0,0,0,34672.94913,12.5,0.901978086,23055.79652
1/11/17,Th,Colored,30,702.5842048,40,0,0,0,28103.36819,12.5,0.873968701,18707.02903
1/12/17,F,Colored,10,349.1225551,30,1,0,0,10473.67665,12.5,0.780723069,5837.076681
1/13/17,Sa,Colored,20,3515.928878,16,0,1,0,56254.86204,12.5,1.088674537,8478.048827
1/14/17,Su,Colored,30,3077.475506,16,0,1,0,49239.6081,12.5,1.07091532,7475.448606
1/15/17,M,Colored,10,616.7898091,30,1,0,0,18503.69427,12.5,0.856603773,10265.47718
1/16/17,T,Colored,20,826.2486851,40,0,0,0,33049.94741,12.5,0.895586107,21981.862
1/17/17,W,Colored,30,668.0647955,30,1,0,0,20041.94387,12.5,0.867251356,11111.75382
1/18/17,Th,Colored,10,1791.185151,16,0,1,0,28658.96242,12.5,0.998751037,4480.200002
1/19/17,F,Colored,20,4221.83948,16,0,1,0,67549.43168,12.5,1.113070161,10077.23463
1/20/17,Sa,Colored,30,1303.374002,30,1,0,0,39101.22005,12.5,0.956361542,21562.54826
1/21/17,Su,Colored,10,514.2543474,30,1,0,0,15427.63042,12.5,0.832362398,8571.405098
1/22/17,M,Colored,20,3737.80968,16,0,1,0,59804.95488,12.5,1.09683401,8982.577102
1/23/17,T,Colored,30,619.9387185,40,0,0,0,24797.54874,12.5,0.857282751,16516.85199
1/24/17,W,Colored,10,457.9757001,36,0,0,1,16487.1252,12.5,0.816908817,10388.30456
1/25/17,Th,Colored,20,3995.367104,16,0,1,0,63925.87366,12.5,1.105718766,9566.03248
1/26/17,F,Colored,30,716.582044,40,0,0,0,28663.28176,12.5,0.876599033,19077.85108
1/27/17,Sa,Colored,10,420.4510567,40,0,0,0,16818.04227,12.5,0.805510411,11223.72635
1/28/17,Su,Colored,20,894.1660659,36,0,0,1,32189.97837,12.5,0.906118869,20202.6818
1/1/17,M,Wide,30,964.0284148,48,0,0,0,46273.36391,22,0.916149436,24181.5447
1/2/17,T,Wide,10,236.3612894,48,0,0,0,11345.34189,22,0.72871487,5973.153538
1/3/17,W,Wide,20,752.1834393,36,1,0,0,27078.60382,22,0.883064031,9866.342011
1/4/17,Th,Wide,30,1029.082263,48,0,0,0,49395.94863,22,0.924856357,25804.38557
1/5/17,F,Wide,10,436.2784796,43.2,0,0,1,18847.23032,22,0.810437434,8895.527357
1/6/17,Sa,Wide,20,354.2989661,36,1,0,0,12754.76278,22,0.782685479,4682.880869
1/7/17,Su,Wide,30,1216.53057,48,0,0,0,58393.46735,22,0.947167772,30477.53626
1/8/17,M,Wide,10,715.4741449,36,1,0,0,25757.06922,22,0.876392728,9389.601691
1/9/17,T,Wide,20,298.7745152,43.2,0,0,1,12907.05906,22,0.759958555,6106.963473
1/10/17,W,Wide,30,1646.593091,36,1,0,0,59277.35127,22,0.987528485,21426.24569
1/11/17,Th,Wide,10,1082.360997,19.2,0,1,0,20781.33115,22,0.931586672,-4038.923872
1/12/17,F,Wide,20,370.8485194,36,1,0,0,13350.5467,22,0.78877249,4899.364162
1/13/17,Sa,Wide,30,1050.464368,48,0,0,0,50422.28968,22,0.927598347,26337.66456
1/14/17,Su,Wide,10,958.4935295,19.2,0,1,0,18403.07577,22,0.915381708,-3561.169327
1/15/17,M,Wide,20,621.7358537,48,0,0,0,29843.32098,22,0.857668711,15631.88881
1/16/17,T,Wide,30,1370.689576,43.2,0,0,1,59213.78967,22,0.963075898,27738.54091
1/17/17,W,Wide,10,243.8568165,48,0,0,0,11705.12719,22,0.732877498,6161.560054
1/18/17,Th,Wide,20,582.649747,48,0,0,0,27967.18785,22,0.849011497,14654.21709
1/19/17,F,Wide,30,1307.564653,48,0,0,0,62763.10332,22,0.956789552,32745.61677
1/20/17,Sa,Wide,10,568.9641167,43.2,0,0,1,24579.24984,22,0.845842316,11580.78535
1/21/17,Su,Wide,20,663.6911132,36,1,0,0,23892.88007,22,0.86637558,8716.669811
1/22/17,M,Wide,30,1234.115313,43.2,0,0,1,53313.78151,22,0.949081286,24991.96888
1/23/17,T,Wide,10,409.3903024,48,0,0,0,19650.73452,22,0.801955865,10315.83491
1/24/17,W,Wide,20,596.4158077,48,0,0,0,28627.95877,22,0.852125078,14998.59013
1/25/17,Th,Wide,30,1239.551413,48,0,0,0,59498.46783,22,0.949667311,31051.17529
1/26/17,F,Wide,10,470.4246813,48,0,0,0,22580.3847,22,0.820484782,11845.06542
1/27/17,Sa,Wide,20,624.0508405,48,0,0,0,29954.44035,22,0.858164245,15689.78374
1/28/17,Su,Wide,30,2430.84676,19.2,0,1,0,46672.25778,22,1.039465992,-9333.153464
1/1/17,M,High,10,1185.952492,41.25,1,0,0,48920.54029,22.6,0.943773536,20998.7434
1/2/17,T,High,20,2968.936668,22,0,1,0,65316.60669,22.6,1.066127886,-4946.628173
1/3/17,W,High,30,1669.599794,49.5,0,0,1,82645.1898,22.6,0.989378564,43260.36821
1/4/17,Th,High,10,1133.366666,41.25,1,0,0,46751.37496,22.6,0.937726378,20074.5005
1/5/17,F,High,20,2025.60635,41.25,1,0,0,83556.26195,22.6,1.015149916,35721.26432
1/6/17,Sa,High,30,5440.587959,22,0,1,0,119692.9351,22.6,1.146885655,-9504.085063
1/7/17,Su,High,10,1270.955539,49.5,0,0,1,62912.29919,22.6,0.953003239,32977.47926
1/8/17,M,High,20,1253.166862,55,0,0,0,68924.17738,22.6,0.951123882,39410.68938
1/9/17,T,High,30,3677.51865,22,0,1,0,80905.41029,22.6,1.094665803,-6232.165096
